-0.9967195000,	0.0099357554,	0.0810000000,	-0.0015845623,	1.0000000000,	-0.0194793272,	0.0810000000
-0.9966380000,	0.0099341611,	0.0820000000,	-0.0016040385,	1.0000000000,	-0.0194762015,	0.0820000000
-0.9965555000,	0.0099325474,	0.0830000000,	-0.0016235115,	1.0000000000,	-0.0194730376,	0.0830000000
-0.9964720000,	0.0099309141,	0.0840000000,	-0.0016429813,	1.0000000000,	-0.0194698356,	0.0840000000
-0.9963875000,	0.0099292614,	0.0850000000,	-0.0016624479,	1.0000000000,	-0.0194665954,	0.0850000000
-0.9963020000,	0.0099275892,	0.0860000000,	-0.0016819112,	1.0000000000,	-0.0194633171,	0.0860000000
-0.9962155000,	0.0099258976,	0.0870000000,	-0.0017013712,	1.0000000000,	-0.0194600006,	0.0870000000
-0.9961280000,	0.0099241865,	0.0880000000,	-0.0017208279,	1.0000000000,	-0.0194566459,	0.0880000000
-0.9960395000,	0.0099224559,	0.0890000000,	-0.0017402811,	1.0000000000,	-0.0194532531,	0.0890000000
-0.9959500000,	0.0099207059,	0.0900000000,	-0.0017597310,	1.0000000000,	-0.0194498221,	0.0900000000
-0.9958595000,	0.0099189365,	0.0910000000,	-0.0017791773,	1.0000000000,	-0.0194463531,	0.0910000000
-0.9957680000,	0.0099171476,	0.0920000000,	-0.0017986202,	1.0000000000,	-0.0194428459,	0.0920000000
-0.9956755000,	0.0099153392,	0.0930000000,	-0.0018180595,	1.0000000000,	-0.0194393006,	0.0930000000
-0.9955820000,	0.0099135114,	0.0940000000,	-0.0018374952,	1.0000000000,	-0.0194357172,	0.0940000000
-0.9954875000,	0.0099116642,	0.0950000000,	-0.0018569273,	1.0000000000,	-0.0194320957,	0.0950000000
-0.9953920000,	0.0099097976,	0.0960000000,	-0.0018763557,	1.0000000000,	-0.0194284361,	0.0960000000
-0.9952955000,	0.0099079115,	0.0970000000,	-0.0018957805,	1.0000000000,	-0.0194247384,	0.0970000000
-0.9951980000,	0.0099060060,	0.0980000000,	-0.0019152015,	1.0000000000,	-0.0194210026,	0.0980000000
-0.9950995000,	0.0099040811,	0.0990000000,	-0.0019346187,	1.0000000000,	-0.0194172287,	0.0990000000
-0.9950000000,	0.0099021368,	0.1000000000,	-0.0019540321,	1.0000000000,	-0.0194134168,	0.1000000000
-0.9948995000,	0.0099001730,	0.1010000000,	-0.0019734417,	1.0000000000,	-0.0194095669,	0.1010000000
-0.9947980000,	0.0098981899,	0.1020000000,	-0.0019928473,	1.0000000000,	-0.0194056789,	0.1020000000
-0.9946955000,	0.0098961873,	0.1030000000,	-0.0020122491,	1.0000000000,	-0.0194017528,	0.1030000000
-0.9945920000,	0.0098941654,	0.1040000000,	-0.0020316469,	1.0000000000,	-0.0193977887,	0.1040000000
-0.9944875000,	0.0098921240,	0.1050000000,	-0.0020510407,	1.0000000000,	-0.0193937866,	0.1050000000
-0.9943820000,	0.0098900633,	0.1060000000,	-0.0020704304,	1.0000000000,	-0.0193897465,	0.1060000000
-0.9942755000,	0.0098879832,	0.1070000000,	-0.0020898161,	1.0000000000,	-0.0193856683,	0.1070000000
-0.9941680000,	0.0098858837,	0.1080000000,	-0.0021091976,	1.0000000000,	-0.0193815522,	0.1080000000
-0.9940595000,	0.0098837648,	0.1090000000,	-0.0021285750,	1.0000000000,	-0.0193773980,	0.1090000000
-0.9939500000,	0.0098816265,	0.1100000000,	-0.0021479482,	1.0000000000,	-0.0193732059,	0.1100000000
-0.9938395000,	0.0098794689,	0.1110000000,	-0.0021673172,	1.0000000000,	-0.0193689758,	0.1110000000
-0.9937280000,	0.0098772919,	0.1120000000,	-0.0021866819,	1.0000000000,	-0.0193647077,	0.1120000000
-0.9936155000,	0.0098750955,	0.1130000000,	-0.0022060423,	1.0000000000,	-0.0193604017,	0.1130000000
